Category	:	Description
1.1	:	21-glutamic acid-rich protein (21-garp)
1.1	:	46 kd coxsackievirus and adenovirus receptor (car) protein
1.1	:	acute myeloid leukemia 1 protein (oncogene aml-1), core-binding factor, alpha subunit
1.1	:	autoimmune regulator (apeced protein)
1.1	:	b-cell translocation gene
1.1	:	beta-site app-cleaving enzyme 2, ec 3.4.23.
1.1	:	brain specific polypeptide pep19
1.1	:	c-terminal binding protein 2
1.1	:	carbonyl reductase (nadph) 1, ec 1.1.1.184.
1.1	:	carbonyl reductase (nadph) 3, ec 1.1.1.184.
1.1	:	cell surface adhesion glycoprotein (lfa-1,cr3,p150,959 beta subunit precursor)
1.1	:	cgmp-specific 3',5'-cyclic phosphodiesterase type 9, ec 3.1.4.17.
1.1	:	chromosome 21 open reading frame 5
1.1	:	chromosome 21 open reading frame 6
1.1	:	cu,zn superoxide dismutase, ec 1.15.1.1.
1.1	:	cystatin b (liver thiol proteinase inhibitor)
1.1	:	disintegrin-like and metalloprotease with thrombospondin type 1 motif, 5
1.1	:	down syndrome critical region protein a
1.1	:	down syndrome critical region protein b
1.1	:	dual-specificity tyrosine-y-phosphorylation regulated kinase, ec 2.7.1.
1.1	:	gene of unknown function, spliced variant est ai126619
1.1	:	glcnac-beta-1,3-galactosyltransferase 5
1.1	:	h2b histone family s member
1.1	:	heat shock transcription factor 2 binding protein
1.1	:	holocarboxylase synthetase, ec 6.3.4.
1.1	:	human alphaa-crystallin (crya1)
1.1	:	human atp synthase oscp subunit, oligomycin sensitivity conferring protein
1.1	:	human cardiac delayed rectifier potassium channel protein
1.1	:	human chd2-52 down syndrome cell adhesion molecule
1.1	:	human chromatin assembly factor-i p60 subunit
1.1	:	human cldn17 gene for claudin-17
1.1	:	human cldn8 gene for claudin-8
1.1	:	human cystathionine-beta-synthase, ec 4.2.1.22.
1.1	:	human down syndrome candidate region protein, proline-rich protein
1.1	:	human down syndrome critical region protein c
1.1	:	human dsrna adenosine deaminase drada2b, ec 3.5.
1.1	:	human enterokinase; ec 3.4.21.9.
1.1	:	human erythroblastosis virus oncogene homolog 2
1.1	:	human formiminotransferase cyclodeaminase, ec 4.3.1.4.
1.1	:	human g protein coupled inward rectifier potassium channel 2 (higirk2)
1.1	:	human gc-rich sequence dna-binding factor candidate
1.1	:	human glutamate receptor (glur5)
1.1	:	human homeobox-containing protein
1.1	:	human interferon alpha,beta receptor
1.1	:	human interferon-alpha receptor (huifn-alpha-rec)
1.1	:	human interferon-regulated resistance gtp-binding protein mxa
1.1	:	human interferon-regulated resistance gtp-binding protein mxb
1.1	:	human intersectin-sh3 domain-containing protein sh3p17
1.1	:	human lanosterol synthase, ec 5.4.99.7.
1.1	:	human liver-type 1-phosphofructokinase, ec 2.7.1.11.
1.1	:	human metalloproteinase with thrombospondin type 1 motifs
1.1	:	human microsomal stress 70 protein atpase core
1.1	:	human mink-related peptide 1, potassium channel subunit, mirp1
1.1	:	human mitochondrial atpase coupling factor 6 subunit
1.1	:	human mrna for amyloid a4 precursor of alzheimer's disease
1.1	:	human mrna for collagen vi alpha-1 c-terminal globular domain
1.1	:	human mrna for collagen vi alpha-2 c-terminal globular domain
1.1	:	human mrna for kiaa0136 protein
1.1	:	human mrna for mcm3 import factor
1.1	:	human mrna; transcriptional unit n143
1.1	:	human nnp-1,nop52 (nnp-1), novel nuclear protein 1
1.1	:	human non-histone chromosomal protein hmg-14
1.1	:	human nuclear respiratory factor-2 subunit alpha
1.1	:	human protein kinase c-binding protein rack17
1.1	:	human pyridoxal kinase, ec 2.7.1.35.
1.1	:	human quinone oxidoreductase homolog-1
1.1	:	human reduced folate carrier (rfc)
1.1	:	human ribosomal protein s5 mrna, complete cds
1.1	:	human solute carrier family 5, member 3, sodium,myo-inositol cotransporter
1.1	:	human t-lymphoma invasion and metastasis inducing tiam1 protein
1.1	:	human transcription factor sim2, homolog of the drosophila single-minded gene sim1
1.1	:	human transmembrane receptor protein; cytokine receptor
1.1	:	human type xviii collagen
1.1	:	human u2 snrnp auxiliary factor small subunit
1.1	:	human ubiquitin conjugating enzyme g2
